match_id,start_date,venue,innings,phase,runs_off_bat,extras,runs,0s,1s,2s,3s,4s,5s,6s,wickets_fallen
335999,2008,Hyderabad,1,Powerplay,48,2,50,15,14,0,2,7,0,0,1
335999,2008,Hyderabad,2,Death,35,3,38,6,13,2,0,3,0,1,0
335999,2008,Hyderabad,2,Middle,85,3,88,17,21,5,0,12,0,1,2
335999,2008,Hyderabad,2,Powerplay,41,0,41,15,13,2,0,6,0,0,1
336000,2008,Jaipur,1,Death,47,7,54,11,13,5,0,3,0,2,3
336000,2008,Jaipur,1,Middle,95,2,97,13,25,3,0,13,0,2,3
336000,2008,Jaipur,1,Powerplay,40,5,45,21,8,1,0,6,0,1,1
336000,2008,Jaipur,2,Death,21,2,23,7,15,3,0,0,0,0,5
336000,2008,Jaipur,2,Middle,73,4,77,18,26,4,1,3,0,4,2
336000,2008,Jaipur,2,Powerplay,45,6,51,23,9,2,0,5,0,2,3
336001,2008,Chennai,1,Death,42,1,43,11,14,1,0,2,0,3,3
336001,2008,Chennai,1,Middle,76,3,79,19,22,5,0,8,0,2,2
336001,2008,Chennai,1,Powerplay,44,3,47,19,11,1,1,7,0,0,1
336001,2008,Chennai,2,Death,29,1,30,10,7,5,0,3,0,0,0
336001,2008,Chennai,2,Middle,75,3,78,16,25,7,0,6,0,2,2
336001,2008,Chennai,2,Powerplay,62,2,64,14,10,3,0,7,0,3,0
336002,2008,Hyderabad,1,Death,40,2,42,15,10,0,0,3,0,3,6
336002,2008,Hyderabad,1,Middle,80,2,82,23,18,3,0,8,0,4,4
336002,2008,Hyderabad,1,Powerplay,32,9,41,20,14,1,0,4,0,0,0
336002,2008,Hyderabad,2,Death,64,1,65,4,8,0,0,8,0,4,2
336002,2008,Hyderabad,2,Middle,63,0,63,17,29,2,0,3,0,3,2
336002,2008,Hyderabad,2,Powerplay,41,2,43,20,7,1,0,8,0,0,1
336005,2008,Jaipur,1,Death,17,1,18,17,3,3,0,2,0,0,3
336005,2008,Jaipur,1,Middle,53,0,53,22,23,4,0,4,0,1,3
336005,2008,Jaipur,1,Powerplay,32,6,38,26,3,1,1,6,0,0,4
